"Room","Title","Description","Singers (one line)","YoutubeID"
"Sio Kerala","Sio revolutionary song Maratte.. marate ekalavum kolangalum","Students Islamic organization | സാർവമൗലിക നീലിമയും | ശാന്തി പരത്തും ധവളിമയും | വിപ്ലവമോതും ഷോണിമയും | ചേർത്തു കെട്ടിയ മൂവർണ്ണക്കൊടി | വാനിലുയർത്തി ഞങ്ങൾ വിളിക്കും | എസ്.ഐ.ഒ സിന്ദാബാദ്...","Not credited","0q5q3iPL_J4"
"Sio Kerala","sio song നേര് പൂക്കുന്ന കാലം 2","No description provided","Not credited","wZ0IqVgevUk"
"Sio Kerala","SiO song മഴവിലിൻ തണൽ 5","-Video Upload powered by https://www.TunesToTube.com","Not credited","LdbMnYMTZ1s"
"Sio Kerala","SiO song മഴവിലിൻ തണൽ 7","-Video Upload powered by https://www.TunesToTube.com","Not credited","PNl9ZYDMZqo"
"Sio Kerala","Thee Padarthuka Vaakkukalalee | തീ പടർത്തുക | Karunyatheeram | കാരുണ്യതീരം | sio song 03","""Thee Padarthuka Vaakkukalalee"" is the third song of the famous album Karunyatheeram. Karunyatheeram is released by sio. And it is still remembered as the best of sio songs. | This song is being Re uploaded by sio Ernakulam as part of its District Cadre Conference, Jan 2018.","Not credited","EL5WCW71nZo"
"Sio Kerala","Zammilooni | സമ്മിലൂനി| Lyrical video |Eid Song|SIO PALAKKAD|Samvedanavedi","Song : zammilooni | Vocal : Salman SV | Composer : Bayanuzzaman | Lyrics : Hafis Nenmara | Graphics : Fayas Mattummal | Studio: Adam Mixlab | കുഫ് റിൻ കാലത്ത്    ജഹ് ലിൻ ചൂടത്ത് | ഹിറാ പാറപ്പുറത്ത് അന്ന് ഉറവ പൊട്ടി | അകക്കിതപ്പാൽ  വിയർത്ത് ഹുബ്ബ്  ഏറ്റം തിടുക്കത്തിൽ എത്തി ചാരത്തിണതുടിപ്പ് | മലർ പുതപ്പായീ  തണുപ്പ്.... | (സമ്മിലൂനി സമ്മിലൂനി സമ്മിലൂനി) | കലാമാലെ ജഗമാകെ പ്രഭ പരത്തി | റൂഹുൽ ഖുദ്സ്സിൻ്റെ ചിറകേറി വഹിയിറങ്ങി | നുണയും നിരാശയും കരിഞ്ഞുണങ്ങി","Salman SV","AdVYi8Va-GM"
"Sio Kerala","ഇരവിലുയരും | Iraviluyarum | Lyrical Video | Samvedhanavedhi | SIO Malappuram","Samvedana Vedhi Presents | ഇരവിലുയരും | Music composed and Vocal : Faheed Ali | Lyrics: Ayman MA | Production: Samvedanavedhi Malappuram | Harmonium : Roshan Haris | Guitar: Haris Veeroli | Rythm & Duff : Samad Ammas | Additional Programming: mixing Mastering: Suveesh Vishwa | Studio : Ammas & Rooh Rang Studio | Art: Faheem | Editing: Saeed | Title Design: Hamdhan vazhakkad | SIO Malappuram","Not credited","f0vBdmIjK64"
"Sio Kerala","ദിക്റുല്ലാഹ് | Dhikrullah | Faheed Ahmed I Music Video | Samvedhanavedhi | sio kerala","ദിക്റുല്ലാഹ്... | Dhikrullah... | Composed By : Haseeb Razak ,Jasim Jamal | Lyrics : Ansif Abdulla | Vocal : Faheed Ahmed | Backing Vocals : Jasim Jamal, Haseeb Razak, Ansif Abdulla | Programming and Mastering : Antony Raphael | Tabala : Hakeem Tirur | Guitar : Hafiz Mohammed | Studio : Mac Bro Studios | Urdu Lyrics : Gafoor Kolathur,Ashfaq Ahmed | Video By: Saeed Kodungallur | Drawing : Faheem PT | Creative Support: Jasir Basheer, Jawad PS","Faheed Ahmed","AUh6Q62wHuc"
"Sio Kerala","പാട്ടിരുത്തങ്ങൾ | Eid | Song | sio panayikulam","വരും തലമുറകൾക്ക് ബാക്കിയാവുന്ന സംഗീത രാവുകളാണ് പെരുന്നാളിന്റേത്.... | Artists : Rijas K H, Ashique T A, Ameen Akthar, Mohammed Shakir, Adnan C T | Camera & Edit : Nayeef M M | Follow us on social media:- | Facebook :-https://www.facebook.com/sio.panayikulam | Instagram :-https://instagram.com/siopanayikulam?igshid=10phsmcj9c4rp","Not credited","BLMK48ifaFE"
"Gio Kerala","Aysha Beevi (R) | ഹുമൈറാഅ്‌  ആയിഷ ബീവി (റ) | Music Video | GIO AL JAMIA","ഹുമൈറാഅ്‌  ആയിഷ ബീവി (റ) | Lyrics: Adila K, Nida Vajifa EN | Vocal: Huda Asharaf P | Backing Vocals: Jasim Jamal and Haseeb Razak | Music Composer: Haseeb Razak | Programming: Antony Rapheal | Title Design & Digitalizing: Afna M, Nuzha Hanan | Art: Nida Mariyam, Nida Vajifa EN, Nada NT, Sahla Sherin KP | Calligraphy: Thooba Ruqiya | Video: Swaliha & Nuzha | Studio: Mac Bro Kondotty | Special Thanks: Ajmal Mampad, Salih MC | പൂർവ്വ പ്രവാചകന്മാരായ ഇബ്റാഹിം (അ) യുടെയും ഇസ്മാഈൽ (അ) യുടെയും  കാലശേഷം അണഞ്ഞ് കൊണ്ടിരുന്ന സത്യദീനിന്റെ വിളക്കിനെ  പൂർണ്ണതയോടെ ജ്വലിപ്പിച്ച് നിർത്താൻ അന്ത്യ പ്രവാചകൻ മുഹമ്മദ് (സ്വ) ആഗതനായി. | റസൂലിന് പ്രവാചകത്വത്തിന്റ ആ മഹാദൗത്യം  ഏൽപ്പിക്കപ്പെട്ട് നാല് വർഷങ്ങൾ കഴിഞ്ഞാണ് അബൂബകർ സിദ്ദീഖ് (റ) വിന് ആഇശ എന്ന ഓമന പുത്രി ജനിക്കുന്നത്.","Huda Asharaf P","roRV_8SAPw4"
"Gio Kerala","HUbB | SONG OF LOVE المتحابون في الله | Haseeb Razak | Ajmal Mampad | Huda Basheer","HUbB | SONG OF LOVE المتحابون في الله | A Haseeb Razak musical | GIO Thrissur sargavedhi presents... | Lyrics: Ajmal Mampad | Vocal : Huda Basheer | Lyrical Video : Saeed kodungaloor | Artist : Faheem PT | Programming: Bayanuzzaman | Mix And Mastering: Vocal Chords (Arjun Kottaram) | Studio: Aum Studios Thrissur | Song concept: Hiba Adhil | Abnam Sakiya P.S | Fathima Hiba Shibily | Naseeha Rahmath Ali","Huda Basheer","Iy3AZf2J_gg"
"Gio Kerala","Hubb-Song of Love","Provided to YouTube by GIO KERALA | Hubb-Song of Love · GIO KERALA · Huda Basheer · Haseeb Razak · Ajmal Mampad | Hubb | ℗ 2025 GIO KERALA | Released on: 2025-08-15 | Composer: HASEEB RAZAK | Auto-generated by YouTube.","Not credited","8ISX8vcBOUQ"
"Gio Kerala","PUTHUJALAKANGALIL |പുതുജാലകങ്ങളിൽ|Faheed Ali |Ansif Abdulla|Official Song |GIO ERNAKULAM | Sargavedi","Song: PUTHU JALAKANGALIL | Lyrics : Ansif Abdulla | Composed by : Faheed Ali | Vocal : Devananda Satheesh | Backing Vocals : Fathima Hana, Sidrathul Munthaha OS, Lamia Zakir Husain, Nawal Farheen KA | Graphics & Animation : Misab karakkunnu | Programmed by : Sandy | Studio : Sandy's Music Hub and SRB Sounding | സർഗവേദി-GIO Ernakulam","Devananda Satheesh","xCwaigPXcME"
"Gio Kerala","SAFAR, Ode to Four Decades-Official Music Video| Jasim Jamal | Dana Razik | Fidha Bilal | Gio Kerala","A Jasim Jamal Musical | Lyrics : Fidha Bilal | Singer : Dana Razik | Programming & Arrangements : Amith Sajan | Mixing & Mastering : Vocal Chords ( Arjun Kottaram) | Studio : Sonic Island Kochi | Video : Saeed Kodungallur | Art : Faheem PT | Design : Hannad Hadi | follow us on | facebook.com/giokerala | instagram.com/giokerala","Dana Razik","41QqXhSqE4M"
"Gio Kerala","Tarana e Tanzeem | Girls Islamic Organisation","Members Girls Islamic Organisation reciting Tarana e Tanzeem at the City Conference organised by Girls Islamic Organisation, Hyderabad on 20th October, 2019 at Exhibition Grounds, Nampally.","Not credited","3OEpaEuDtXg"
"Gio Kerala","खतरा - Rap Song |SARGAVEDI |GIO KERALA","Singer : Suvaibathul Aslamiyya K | Lyrics: Ansif Abdullah | Music : Basim Salim | Mixing & Mastering : Ashbin Paulson | Studio : Amala Media House, Kozhikode | Video : Misab Karakunn","Suvaibathul Aslamiyya K","IR6ZuVzjSz0"
"Gio Kerala","ഇലാഹെന്നും അക്ബർ | A Faheed Ali Musical | Fidha Bilal | Fathima Isthik | GIO Malappuram - Sargavedi","Lyrics : Fidha Bilal | Composed by : Faheed Ali | Programmed, Mixed and Mastered by : Sandy | Studio : Sandy's Music Station , AUM Studio Trissur | Vocal : Fathima Isthik | Chorus : Shifa Sulthana, Haya Abdul Hakim Khan, Fida Thasneem | Studio engineer : Abhiram Unnikrishnan | Executive producer : Shifa Sulthana K K | Video editing : Hafiz Kottakkal | Poster design : Muhammad Safvan","Fathima Isthik","Gs571xiQOJ8"
"Gio Kerala","കിതാബിലെ കിസ്സ | Kithabile Kissa | Raniya Haneef & Linu Husna | Faheed Ahmed | GIO KERALA","കിതാബിലെ കിസ്സ | Kithabile Kissa | Lyrics   :  Fidha Bilal, Adila K | Vocals : Raniya Haneef, Linu Husna | Music   : Faheed Ahmad | Chorus : Hira Fathima, Nuha Abdul Salam | Programming / Mixing : Suveesh Vishwa - Vatakara | Studio : MusiqHut vatakara | Lyrical Video : Ibnas Ahmed | Special Thanks: | Samad Ammas | Ameen Karakkunnu | Jameel Ahmed | Ajmal Mampad | Shameema Sakkeer","Raniya Haneef, Linu Husna","OvuSgjpkQDk"
"Gio Kerala","താത്തക്കുട്ടികളുടെ പാട്ട് | സംഗീത നാടകം | GIO KERALA","നേരിന്റെ പെണ്ണിടങ്ങൾ സൃഷ്ടിച്ച് ജി. ഐ. ഒ കേരളയുടെ പെരുന്നാൾ വിരുന്ന് | രചന: ജമീൽ അഹമ്മദ് | സംവിധാനം: മുനീബ് കാരക്കുന്ന്, ജബ്ബാർ പെരിന്തൽമണ്ണ | അവതരണം: ഇർഷാദിയ വിദ്യാർത്ഥിനികൾ","Not credited","_4idkeRQuY4"
"Gio Kerala","താരഗണങ്ങൾക്കപ്പുറം പോരാട്ടവീറിന്റെ പെണ്ണിടം | Lyric Video Song | GIO Kerala | Sidhrathul Munthaha","താരഗണങ്ങൾക്കപ്പുറം പോരാട്ടവീറിന്റെ പെണ്ണിടം | ജി.ഐ.ഒ കേരള പുറത്തിറക്കിയ ഗാനം | Music Video By GIO Kerala | Lyrics : Ameen Karakkunnu | Music : Muhsin Kurikkal | Singer : Dr. Sidhrathul Munthaha | GIO was established on March 5 1984. It functions under the supervision of JIH. Gio releases the potential of womenfolk in moulding the society's future. And also intends to uplift the girls and enhance their power of action and reaction. | GIO releases that it is from the girls themselves that the voices for safety and security should wise. | Being a group that works among girls GIO has to make its member realize their space in their families as well as society. Girls should have the courage to shoulder the responsibility of handing over the message of truth to the posterities.","Dr. Sidhrathul Munthaha","BiLtFHcg6Ys"
"Gio Kerala","പോരിമ്പം  | Song Release by GIO KANNUR | AMEEN KARAKUNNU | FAHEED ALI  @gio_kannur #porimbam","A FAHEED ALI MUSICAL | LYRICS: AMEEN KARAKUNNU I VOCAL: SAARIKA GOPINATH LYRICAL VIDEO: SAEED KODUNGALOOR | PROGRAMMED, MIXED AND MASTERED BY: SANDY | I PRODUCTION: GIO KANNUR | STUDIO: SANDY'S WORKSTSTION | POSTER: AHAMMED RABEEH","Not credited","zmju0p51ntg"
"Gio Kerala","മാളു ഹജ്ജുമ്മ | MALU HAJJUMMA | GIO KERALA","മാളു ഹജ്ജുമ്മ | Video Song | MALU HAJJUMMA | GIO KERALA | Vocal: Raniya Haneef, Rijisha Balakrishnan | Music: Haseeb Razak | Lyrics: Ajmal Mampad | Backing vocals : Jasim Jamal and Haseeb Razak | DOP: Syed Fahri | Editing. Thufail Zaman | Title: Kareemgraphy | Programing & Mixing. Antony Raphael | Art director: Shahal Afnan | Production Controller: Nihas Basheer | Studio: Macbro Kondotty","Raniya Haneef, Rijisha Balakrishnan","Ip9i7q74Fao"
"Gio Kerala","ഹഖുണരും | A Faheed Ali Musical | GIO Kozhikode","ഹഖുണരും💜 | Lyrics : Adv Faheema K Haneef | Vocal : Huda Ashraf P | Composing : Faheed Ali | Lyrical Video : Swaliha Siraj | Programming mixing & Mastering : Suveesh Viswa | Studio : Musiqhut | Poster design : Hannad | Follow Us: | Facebook.com/GIOKozhikode | Instagram.com/giokozhikode | Youtube.com/giokozhikode | LYRICS | കണ്ണുകൾ വിതുമ്പും നേരം","Huda Ashraf P","08eUkdz_flY"
"Solidarity Youth Movement","#RahmanMunnoor #SameerBinsy #ImamMajboor | കാലു രണ്ടും വിറകൊണ്ടും | RAHMAN MUNNOOR | NEW SONG","അനശ്വര കലാകാരന്‍ റഹ്മാന്‍ മുന്നൂരിന്റെ | അപ്രകാശിത രചന സോളിഡാരിറ്റി യൂത്ത്മൂവ്‌മെന്റ് അദ്ദേഹത്തെ അനുസ്മരിച്ച് കൊണ്ട് പുറത്തിറക്കുന്നു. | രചന: റഹ്മാന്‍ മുന്നൂര്‍ | ഈണം: കോഴിക്കോട് അബൂബക്കര്‍ | സംഗീതം: അക്ബര്‍ മലപ്പുറം | ശബ്ദം: സമീര്‍ ബിന്‍സി, ഇമാം മജ്ബൂര്‍","Not credited","j2msPEE3ukI"
"Solidarity Youth Movement","Rahman Munnoor audio song lonched by Solidarity Youth Movement","Rahman Munnoor audio song lonched by Solidarity Youth Movement","Not credited","pNdR8yi4ZSc"
"Solidarity Youth Movement","solidarity song","solidarity janapaksha sammelanam (","Not credited","LkLS04KymIg"
"Solidarity Youth Movement","SOLIDARITY SONG","സോളിഡാരിറ്റിയുടെ പുതിയ ഗാനം","Not credited","4-sBle-1HFE"
"Solidarity Youth Movement","SOLIDARITY SONG നന്മയിലേക്കൊരു ചുവടുവെപ്പ്","No description provided","Not credited","y40WaX96mbo"
"Solidarity Youth Movement","Solidarity songs.. Adam nabimudal andya pravachakarolam..","Solidarity Kerala Songs..","Not credited","1KZ3ja4TqmA"
"Solidarity Youth Movement","Solidarity Youth Conference Song","Solidarity Youth Conference Song","Not credited","RVzzpsLDpFc"
"Solidarity Youth Movement","song 2","No description provided","Not credited","igEhv4b0Njs"
"Solidarity Youth Movement","ഈ നീലമാനത്തിൻ Cover Song | Solidarity Youth Movement Kerala | Ameen Yasir, Jameel Ahmed and Crew","ഈ നീലമാനത്തിൻ Cover Song | Solidarity Youth Movement Kerala | Ameen Yasir & Crew","Not credited","2qrnGaRqQws"
"Solidarity Youth Movement","ഈദീസം | Eedeesam | Eid Song | Solidarity Youth Movement | Trivandrum| Shameem TGI | Muhammed Ashkar","സോളിഡാരിറ്റി യൂത്ത് മൂവ്മെന്റ്, തിരുവനന്തപുരം ഒരുക്കിയ പെരുന്നാൾ പാട്ട് | Lyrics: S M Anwar | Music: Shameem TGI | Vocal: Muhammed Ashkar & Jahana Kareem | Orchestration, Mixing & Mastering: Anoop Kumar Kallingal | Studio: Media Field – Nedumangad, KG Media, Vibe Media Productions – Paleri | Animations & Editing: Thufail | Posters: Rabeeh | Lyrics: | യാ സലാം... യാ സലാം... | ഫർദാകും നോമ്പു കഴിഞ്ഞു | ഫിത്വ് റിന്റെ ഈദണയുന്നു | ഫലമേറി നിറഞ്ഞ റബീഇൽ | ഫിർദൗസിൻ വാതിൽ തുറന്നു","Muhammed Ashkar & Jahana Kareem","KiL-jgApJQE"
"Solidarity Youth Movement","കവിതയാക്കുന്നോനെ Video song | Solidarity Ernakulam | Eid Song |","ഏവർക്കും പെരുന്നാൾ സന്തോഷങ്ങൾ✨ | Song Credits : | Song Name : കവിതയാക്കുന്നോനേ | Lyrics : Iqbal mullungal | Composed by : Rijas.k.h | Vocal : Sidrathul munthaha,Rijas.k.h | Editor:Mishab karakkunnu | Bgm:Jubin | Mentor:Ajfas u.m | Creative Support:Sajid Perumbavoor, Zameel Kalamassery,Farhan Siraj | Design:Badeeu zaman | Studio:YK Studio,kalady | Special Thanks : DC members, Solidarity ernakulam | Mixing and mastering: Suneesh.R.S","Sidrathul munthaha,Rijas.k.h","4pZx1AF6OuE"
"Solidarity Youth Movement","നെറുകെ Voice of Pride | Faheed Ali | Ajmal Mampad | Solidarity Youth Movement Kerala | #Neruke","Youth Spring Film Society Presents | നെറുകെ | Voice of Pride | Lyrics : Ajmal Mampad | Composed and vocal : Faheed Ali | Programmed and mixed: SanDy | Studio : Sandy's Workstation | Design : Hannad | Art : Faheem. PT | Video By : Saeed Kodungallur | വേദങ്ങൾ ചൊല്ലും വിധമായ് | ആരുണ്ടീ മീമിൽ നനയാൻ | പാദങ്ങൾ പൊള്ളും നിജമായ് | വീറുണ്ടോ ദീനിൽ അണയാൻ","Not credited","d3HFavYzr0w"
"Solidarity Youth Movement","പ്രതിരോധത്തിന്റെ പാട്ട് | Solidarity Youth Movement | State Conference | Protest Song","പ്രതിരോധത്തിന്റെ പാട്ട് | Solidarity Youth Movement | State Conference | Protest Song | Lyrics: Jameel Ahmed Malappuram | Music: Aboobecker Karuvarakundu | Singers: Salahudheen Mannarkkad, Aboobecker Karuvarakundu, Mishab.MK Koduvally | Ashfaq Rahman Tiruvanantapuram, Lesin.TM Cheruvetta | Edit: Mueen Ponissery | ആര് നീതികേടിൻ കൂരിരുട്ടിൽ നിർത്തി ഉമ്മയെ, | ആര് ജയിലിൽ പൂട്ടി നാട്ടിൻ യൌവനപ്രതീക്ഷയെ, | ആര് കുടിലുകൾ തകർത്തു തെരുവിലാഴ്ത്തി മക്കളെ, | ആര് പെറ്റുവീണ നാട്ടിലന്യരാക്കി നമ്മളെ, | ചൂണ്ടുവിരലുയർത്തി നമ്മളൊന്നുചേർന്നുറക്കെ ധീരം, | ഒറ്റയൊച്ചയിൽ മുഴക്കു ചോദ്യമിങ്ങനെ.... | എന്തിനിവരെ തെരുവിലിട്ടടിച്ചുകൊന്നു ക്രൂരമായ്, | എന്തിനെന്റെ കൂട്ടുകാരനെ പിടിച്ചു കൊണ്ടുപോയ്,","Salahudheen Mannarkkad, Aboobecker Karuvarakundu, Mishab.MK Koduvally","Ff3ojMQ4sRk"
"Solidarity Youth Movement","മുന്നൊരുക്കം solidarity song 1 ""ഇനിയും നമ്മൾ ഉറങ്ങല്ലേ","മുന്നൊരുക്കം സമര ഗാനങ്ങൾ | Solidarity Youth movement | രചന/ജമീൽ അഹമ്മദ്, ഹിക്മത്തുല്ല | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ, വിശ്വനാഥ് | -Video Upload powered by https://www.TunesToTube.com","Not credited","eeplUbfLTko"
"Solidarity Youth Movement","മുന്നൊരുക്കം solidarity song 2 ""നാടിനെ ഒറ്റികൊടുക്കു","മുന്നൊരുക്കം സമര ഗാനങ്ങൾ | Solidarity Youth movement | രചന/ജമീൽ അഹമ്മദ്, ഹിക്മത്തുല്ല | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ, വിശ്വനാഥ് | -Video Upload powered by https://www.TunesToTube.com","Not credited","uV6NWx0lRYU"
"Solidarity Youth Movement","മുന്നൊരുക്കം solidarity song 6 ""ഒത്തൊരുമിച്ചൊരു""","മുന്നൊരുക്കം സമര ഗാനങ്ങൾ | Solidarity Youth movement | രചന/ജമീൽ അഹമ്മദ്, ഹിക്മത്തുല്ല | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ, വിശ്വനാഥ് | -Video Upload powered by https://www.TunesToTube.com","Not credited","lf6oHNxR5lI"
"Solidarity Youth Movement","മുന്നൊരുക്കം solidarity song 7 ""സഹനത്തിൻ""","മുന്നൊരുക്കം സമര ഗാനങ്ങൾ | Solidarity Youth movement | രചന/ജമീൽ അഹമ്മദ്, ഹിക്മത്തുല്ല | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ, വിശ്വനാഥ് | -Video Upload powered by https://www.TunesToTube.com","Not credited","zlPZsl039rI"
"Solidarity Youth Movement","മുന്നൊരുക്കം solidarity song3 ""പഴങ്കിനാക്കളിൽ""","മുന്നൊരുക്കം സമര ഗാനങ്ങൾ | Solidarity Youth movement | രചന/ജമീൽ അഹമ്മദ്, ഹിക്മത്തുല്ല | സംഗീതം/അമീൻ യാസിർ | ആലാപനം/ഷാനവാസ്, സമീർ ബിൻസി, അമീൻ യാസിർ, വിശ്വനാഥ് | -Video Upload powered by https://www.TunesToTube.com","Not credited","9-Gkj7SaE0s"
"Solidarity Youth Movement","യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | ഉണര്‍ത്തുപാട്ടുമായ്‌ | Islamic Song","ഉണര്‍ത്തുപാട്ടുമായ്‌ | യവ്വനം- പോരാട്ടപ്പാട്ടുകള്‍ | സോളിഡാരിറ്റി","Not credited","Z1fM4z2CT-0"
